tconst	averageRating	numVotes
tt3296908	6.4	8316
tt3297382	4.5	1031
tt3300712	3.8	110
tt3300980	7.5	4184
tt3305388	8.7	63
tt3308358	5.9	56
tt3311020	4.7	1369
tt3313054	3.4	414
tt3313314	8.1	9
tt3313760	7.1	19
tt3314584	5.2	22
tt3315342	8.1	491272
tt3322892	4.6	8429
tt3324852	3.5	84
tt3325154	7.5	67
tt3326180	7.3	10
tt3329456	7.9	9
tt3331866	5.2	5
tt3332282	3.1	131
tt3332372	7.1	133
tt3334746	7.1	15
tt3335606	6.3	15681
tt3338188	7.0	57
tt3343868	4.1	1247
tt3348730	5.8	45121
tt3349578	6.7	3562
tt3350996	4.4	780
tt3362238	4.8	389
tt3364264	5.9	311
tt3364386	8.1	95
tt3364946	7.7	10
tt3365280	5.6	42
tt3371366	5.2	101502
tt3373262	6.0	11
tt3375972	8.0	99
tt3378384	5.6	13
tt3381790	9.0	7
tt3385704	7.4	26
tt3390376	8.5	17
tt3393060	6.2	29
tt3394674	3.4	52
tt3396114	6.1	196
tt3396208	7.2	8
tt3398808	5.6	10
tt3400060	3.5	262
tt3400870	5.7	214
tt3401026	9.0	6
tt3401392	6.3	539
tt3401882	5.6	30179
tt3402236	6.5	142916
tt3405236	7.0	34111
tt3407614	6.6	511
tt3409848	6.8	1434
tt3411444	6.7	28688
tt3411808	6.6	19
tt3412738	8.1	16
tt3414374	7.6	12
tt3415358	6.2	80
tt3415398	9.0	8
tt3415992	5.8	525
tt3416536	6.9	495
tt3418424	6.9	36
tt3418854	6.9	16
tt3421124	4.8	980
tt3421204	6.5	64
tt3421318	8.4	69
tt3424722	8.5	17
tt3429340	4.8	276
tt3429774	3.4	34
tt3430694	6.2	20
tt3437498	7.9	61
tt3441228	5.9	12
tt3442726	5.5	86
tt3444312	8.5	45
tt3447876	4.8	98
tt3449322	4.5	243
tt3450178	4.8	48
tt3450958	7.5	176572
tt3455126	8.9	7
tt3455326	6.9	61
tt3455996	4.3	44
tt3457508	7.1	38
tt3462710	5.0	9638
tt3463106	5.4	2426
tt3465026	4.4	253
tt3467362	6.5	105
tt3467900	6.4	21
tt3468316	7.4	95
tt3469046	6.3	76084
tt3469798	5.8	3648
tt3471520	4.8	31
tt3474438	6.1	62
tt3476548	8.2	14
tt3480662	3.4	131
tt3481634	5.2	5819
tt3482000	5.5	128
tt3484292	8.4	7
tt3486626	5.3	3839
tt3492978	8.7	6
tt3494610	3.6	152
tt3497596	7.3	123
tt3499176	4.0	172
tt3499358	3.5	349
tt3499542	8.9	120
tt3501112	5.7	10941
tt3501632	7.9	354159
tt3503094	8.3	25
tt3503840	4.5	2587
tt3505458	8.4	14
tt3509078	7.4	5
tt3509978	7.0	9
tt3511928	5.7	186
tt3517776	6.3	90
tt3517850	8.5	8
tt3517892	8.5	33
tt3517984	4.2	278
tt3518954	8.2	12
tt3519090	9.0	5
tt3521126	7.5	85509
tt3528764	4.6	8
tt3529344	4.1	278
tt3530328	5.3	842
tt3531202	5.8	2855
tt3532216	7.2	104964
tt3534294	5.5	221
tt3548028	6.0	83
tt3561204	3.1	104
tt3561808	7.5	6
tt3563262	5.4	3207
tt3564472	6.2	24280
tt3565472	7.2	15
tt3566328	7.5	15
tt3567168	2.3	26
tt3567666	4.8	2334
tt3568078	7.1	31
tt3568804	6.1	261
tt3577678	4.9	9
tt3578022	6.8	18
tt3581618	5.5	10
tt3581900	9.3	13
tt3582020	6.4	1827
tt3582136	3.9	9
tt3583638	6.4	26
tt3586044	8.6	8
tt3587066	8.0	15
tt3587946	5.6	8
tt3591860	3.5	34
tt3592750	5.3	268
tt3592904	2.5	390
tt3593666	5.3	729
tt3595744	8.0	7
tt3597732	3.1	541
tt3600490	1.6	37
tt3604156	3.5	301
tt3604628	7.8	6
tt3605266	5.5	491
tt3606752	6.8	47253
tt3611266	5.9	1807
tt3612246	5.3	62
tt3615160	6.3	358
tt3616934	4.0	300
tt3620524	5.5	6
tt3624446	4.5	28
tt3626214	4.0	52
tt3626368	5.4	39
tt3629032	3.0	164
tt3630800	3.7	112
tt3630918	8.4	8
tt3638960	7.2	116
tt3640710	7.0	932
tt3641502	7.5	154
tt3642628	7.0	14
tt3647784	2.8	123
tt3647804	4.5	50
tt3651530	9.1	12
tt3652142	6.1	575
tt3652616	5.8	402
tt3652978	2.8	145
tt3653132	8.2	140
tt3654720	8.5	11
tt3654796	6.4	9029
tt3657610	9.2	8
tt3662950	7.6	5
tt3663718	7.1	19
tt3664992	7.8	29
tt3672120	5.2	1958
tt3685624	4.2	661
tt3687938	6.3	44
tt3688342	6.8	204
tt3692652	4.5	2818
tt3693042	4.4	609
tt3696610	8.4	127
tt3699104	4.4	56
tt3699186	5.4	7
tt3699702	5.6	5
tt3700566	8.6	55
tt3702088	6.8	65
tt3702668	5.0	62
tt3702698	7.3	19
tt3704074	6.6	5
tt3704434	6.6	8
tt3705608	6.3	339
tt3705822	5.2	3725
tt3710966	6.0	127
tt3711708	7.4	38
tt3715296	4.7	190
tt3717104	6.2	14
tt3717234	4.8	25
tt3717490	6.0	83392
tt3717804	5.9	1631
tt3719948	5.1	211
tt3721112	3.0	100
tt3722062	5.0	4963
tt3722356	3.6	162
tt3722614	5.2	5402
tt3724490	6.9	816
tt3726408	8.0	8
tt3727362	7.5	10
tt3727646	7.8	22
tt3727922	4.9	18
tt3729268	9.0	41
tt3729774	6.9	17
tt3729914	6.0	161
tt3731562	6.7	209396
tt3731580	5.1	427
tt3732024	6.2	12
tt3733068	6.9	53
tt3733546	8.6	8
tt3739110	5.9	898
tt3740066	6.7	531
tt3741188	4.3	132
tt3741632	6.6	2433
tt3745058	7.6	19
tt3746266	9.0	5
tt3746274	9.8	472
tt3748172	6.7	47087
tt3748918	6.4	12
tt3749926	6.9	8
tt3750238	3.6	348
tt3750872	6.9	165
tt3752610	4.6	95
tt3756302	6.9	18
tt3758172	6.7	28539
tt3758708	6.4	2441
tt3758852	4.5	1234
tt3758864	8.9	12
tt3760974	5.7	101
tt3765278	8.9	9
tt3766102	8.3	15
tt3766340	6.3	13
tt3766382	5.3	7
tt3766448	4.1	28
tt3768390	8.0	11
tt3773210	5.3	71
tt3774094	5.8	10
tt3776068	4.5	21
tt3776518	7.3	246
tt3779382	4.4	43
tt3779414	5.8	87
tt3780500	6.7	2163
tt3781940	6.9	8
tt3784652	4.7	901
tt3787068	3.0	175
tt3793632	4.7	22
tt3796876	4.3	220
tt3798566	6.9	34
tt3799972	6.1	7
tt3800674	7.5	29
tt3800892	7.7	46
tt3804448	4.2	51
tt3806820	4.0	13
tt3808102	3.1	426
tt3809276	5.1	539
tt3809976	6.0	5
tt3810810	6.8	311
tt3811244	4.5	400
tt3814566	9.1	30
tt3814808	6.8	301
tt3817198	6.9	7
tt3817494	3.3	70
tt3817634	7.9	10
tt3817838	8.3	11
tt3818460	8.2	9
tt3819610	4.1	10
tt3822076	9.0	25
tt3823098	6.5	209
tt3823116	5.9	972
tt3827726	5.1	13
tt3828848	8.5	6
tt3829378	5.7	1326
tt3829920	7.7	30621
tt3830302	3.7	92
tt3831032	7.4	10
tt3831344	5.1	530
tt3831636	3.5	380
tt3832126	5.3	381
tt3832326	6.5	64
tt3837842	7.6	83
tt3838034	5.2	833
tt3839884	9.5	8
tt3844638	6.5	238
tt3844876	5.8	1470
tt3844962	4.9	340
tt3846404	7.3	10
tt3847642	4.2	476
tt3848304	9.0	10
tt3850164	5.5	15
tt3851392	6.8	37
tt3853806	6.9	28
tt3856476	9.3	14
tt3858454	5.5	91
tt3859004	8.2	5
tt3859138	7.1	14
tt3859272	6.0	5041
tt3859310	5.9	3268
tt3859872	4.7	103
tt3860916	6.4	15732
tt3861144	2.1	50
tt3863632	7.6	111
tt3864934	5.6	186
tt3867396	3.0	205
tt3868240	4.8	253
tt3874106	6.1	9
tt3874544	6.3	80746
tt3877088	7.2	12
tt3881026	5.0	779
tt3881172	8.0	6
tt3881784	7.0	24857
tt3882378	8.2	5
tt3884282	4.1	108
tt3886454	7.2	23
tt3887158	6.8	25
tt3887208	7.2	30
tt3887462	8.8	10
tt3887812	8.0	15
tt3889156	3.2	177
tt3890160	7.7	307325
tt3891162	8.0	9
tt3891338	4.6	96
tt3891538	5.1	988
tt3893390	8.0	7
tt3894094	8.0	10
tt3896102	6.1	1473
tt3896198	7.7	391596
tt3901826	7.7	8567
tt3902120	9.2	68
tt3906082	6.3	2230
tt3906366	7.1	8
tt3906724	6.1	25
tt3910416	8.3	619
tt3910736	4.0	1772
tt3912672	7.7	6
tt3913194	8.4	56
tt3915368	8.3	28
tt3915560	6.4	45
tt3916628	8.3	21
tt3916688	7.5	8
tt3919234	5.2	133
tt3920094	7.2	12
tt3920118	9.0	7
tt3920890	5.2	325
tt3921768	8.6	17
tt3922818	6.4	35169
tt3923004	4.1	1247
tt3923024	8.7	12
tt3924774	7.9	13
tt3945864	7.6	843
tt3946960	6.3	119
tt3948080	7.1	10
tt3949186	8.3	6
tt3949708	8.5	22
tt3950032	6.3	113
tt3950114	6.9	11
tt3950736	6.2	22
tt3951206	7.1	26
tt3953804	8.0	10
tt3954422	6.2	10
tt3956186	4.3	24
tt3956334	6.3	49
tt3962184	7.5	1674
tt3962296	6.2	75
tt3962984	7.1	730
tt3967856	7.4	61143
tt3967976	6.9	26
tt3968088	7.5	25
tt3969208	6.3	54
tt3972110	4.1	75
tt3976202	9.0	16
tt3978008	7.2	8
tt3980372	3.5	84
tt3980704	6.5	6
tt3983902	3.6	326
tt3984432	7.4	11
tt3986820	6.6	3666
tt3992838	7.3	6
tt3995464	4.6	16
tt3996044	4.7	13
tt3996820	8.8	13
tt4002136	7.8	19
tt4003748	8.4	5
tt4007276	9.3	76
tt4009434	7.6	8
tt4012424	7.4	992
tt4012916	7.2	16
tt4022758	3.8	222
tt4027794	7.2	6
tt4030014	6.0	27
tt4030600	4.3	14437
tt4031126	4.8	560
tt4034112	7.9	18
tt4034930	3.7	34
tt4036488	6.7	666
tt4038030	9.0	6
tt4043002	8.9	7
tt4044896	3.4	425
tt4045444	8.0	14
tt4045894	5.0	912
tt4047704	7.2	6
tt4048186	3.6	198
tt4048792	8.1	8
tt4054382	7.3	24
tt4054952	7.0	471
tt4060024	8.4	5
tt4060244	3.8	48
tt4060480	8.9	10
tt4064220	8.5	27
tt4064912	9.6	5
tt4065214	5.4	69
tt4065552	8.1	4102
tt4067062	5.8	271
tt4073304	3.5	25
tt4073502	7.0	5
tt4073682	6.1	674
tt4074134	9.3	11
tt4079554	6.0	16
tt4080956	7.2	644
tt4081012	6.1	16
tt4082644	7.8	54
tt4083682	3.4	412
tt4094598	6.5	8
tt4095988	6.6	56
tt4102722	5.3	1287
tt4105584	4.0	791
tt4106376	5.4	4594
tt4108666	6.9	11
tt4109632	7.9	106
tt4111262	7.3	34
tt4111826	4.5	159
tt4111956	8.0	10
tt4111958	7.1	31
tt4116284	7.3	101497
tt4117326	5.8	241
tt4117538	5.7	68
tt4117876	9.3	22
tt4119054	7.1	108
tt4119208	7.4	137
tt4121610	7.0	455
tt4125654	8.6	25
tt4126568	4.1	2419
tt4129428	6.5	6884
tt4131800	6.2	4352
tt4132190	4.3	165
tt4134826	3.0	135
tt4135326	6.2	160
tt4135342	4.2	20
tt4135648	8.0	7
tt4137016	6.0	13
tt4137714	7.5	163
tt4143508	8.2	798
tt4144332	6.1	1130
tt4144350	7.3	658
tt4144726	6.6	10
tt4146076	8.5	13
tt4147596	4.7	172
tt4148022	7.3	24
tt4151776	7.6	45
tt4152212	3.9	40
tt4155534	5.8	197
tt4155680	7.0	25
tt4156050	4.3	13
tt4157144	8.3	75
tt4157844	7.5	33
tt4158316	6.8	18
tt4158594	6.6	110
tt4161036	5.5	36
tt4162034	6.6	10
tt4162860	5.7	11
tt4164508	7.0	6
tt4165392	7.0	5
tt4172498	5.9	392
tt4173170	7.2	986
tt4173294	6.6	8
tt4173306	3.4	192
tt4174516	4.7	21
tt4177498	3.5	294
tt4177596	7.0	12
tt4179582	8.8	32
tt4180286	4.3	392
tt4181716	6.7	64
tt4181782	5.0	3867
tt4183284	6.9	16
tt4185370	5.1	375
tt4185742	8.8	11
tt4191486	4.5	25
tt4192148	7.4	14
tt4192918	8.8	46
tt4193776	8.2	8
tt4194558	7.4	20
tt4194954	9.1	10
tt4196110	3.8	12
tt4196448	8.0	9
tt4196550	6.0	29
tt4201990	6.7	328
tt4206516	3.8	28
tt4207196	6.0	51
tt4209788	7.5	71148
tt4210344	5.8	57
tt4212752	7.1	52
tt4214198	8.3	10
tt4215674	3.6	158
tt4217392	5.2	6252
tt4217878	6.7	233
tt4218696	6.2	17360
tt4220794	4.0	6
tt4225622	6.3	35634
tt4229578	4.8	192
tt4230078	7.1	8
tt4230192	3.7	57
tt4231502	7.1	40
tt4232130	6.9	88
tt4236484	7.7	136
tt4240910	8.0	44
tt4247440	1.8	106
tt4247828	5.1	74
tt4249580	7.8	48
tt4263270	7.5	40
tt4264064	6.8	52
tt4264716	8.2	41
tt4273500	6.5	22
