tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt1785288	movie	An Ordinary Man	An Ordinary Man	0	2017	\N	90	Drama,Thriller,War
tt1785635	movie	The Vault	The Vault	0	2017	\N	91	Horror,Thriller
tt1786503	movie	Haunted Maze	Haunted Maze	0	2017	\N	88	Horror,Thriller
tt1790809	movie	Pirates of the Caribbean: Dead Men Tell No Tales	Pirates of the Caribbean: Dead Men Tell No Tales	0	2017	\N	129	Action,Adventure,Fantasy
tt1791611	movie	Spreading Darkness	Spreading Darkness	0	2017	\N	101	Action,Crime,Drama
tt1806913	movie	Golmaal Again	Golmaal Again	0	2017	\N	140	Action,Comedy,Fantasy
tt1808547	movie	The Extra	The Extra	0	2017	\N	\N	Comedy
tt1826727	movie	Life of the Party	Life of the Party	0	2017	\N	\N	Comedy,Drama
tt1828172	movie	Dream Wagon	Dream Wagon	0	2017	\N	97	Action,Western
tt1837683	movie	Lady of the Damned Forest	Lady of the Damned Forest	0	2017	\N	90	Adventure,Fantasy,Horror
tt1844760	movie	Radical	Radical	0	2017	\N	\N	Action,Drama,Horror
tt1856101	movie	Blade Runner 2049	Blade Runner 2049	0	2017	\N	164	Drama,Mystery,Sci-Fi
tt1863293	movie	Khibula	Khibula	0	2017	\N	97	Drama
tt1869347	movie	Crooked House	Crooked House	0	2017	\N	115	Crime,Drama,Mystery
tt1869491	movie	Insomnium	Insomnium	0	2017	\N	81	Horror,Mystery,Thriller
tt1869785	movie	Tracy	Tracy	0	2017	\N	95	Thriller
tt1876466	movie	Taught in Cold Blood	Taught in Cold Blood	0	2017	\N	94	Horror,Thriller
tt1876476	movie	Cider Springs Slaughter	Cider Springs Slaughter	0	2017	\N	\N	Horror
tt1880399	movie	Kodachrome	Kodachrome	0	2017	\N	105	Drama
tt1880415	movie	Battlecreek	Battlecreek	0	2017	\N	97	Drama,Romance
tt1884415	movie	Shepherd	Shepherd	0	2017	\N	\N	Drama,Sci-Fi
tt1886589	movie	Klandestine Man	Klandestine Man	0	2017	\N	90	Documentary
tt1887852	movie	Roller Dreams	Roller Dreams	0	2017	\N	82	Documentary
tt1887901	movie	The Hunting of the Snark	The Hunting of the Snark	0	2017	\N	\N	Fantasy
tt1890370	movie	Real Fake: The Art, Life & Crimes of Elmyr De Hory	Real Fake: The Art, Life & Crimes of Elmyr De Hory	0	2017	\N	85	Documentary
tt1904865	movie	Coached into Silence	Coached into Silence	0	2017	\N	\N	Documentary
tt1929438	movie	Ulrike's Brain	Ulrike's Brain	0	2017	\N	55	\N
tt1934452	movie	Realms	Realms	0	2017	\N	\N	Horror,Mystery
tt1935089	movie	Blind	Blind	0	2017	\N	98	Drama,Romance
tt1935194	movie	Overdrive	Overdrive	0	2017	\N	93	Action,Thriller
tt1935897	movie	Amityville: The Awakening	Amityville: The Awakening	0	2017	\N	85	Horror,Thriller
tt1937331	movie	Some Say Chance	Some Say Chance	0	2017	\N	45	Mystery
tt1937499	movie	Mormon Movie	Mormon Movie	0	2017	\N	80	Documentary
tt1948181	movie	La Peur aux trousse	La Peur aux trousse	0	2017	\N	\N	Crime,Documentary,Drama
tt1948196	movie	Torpor Revisitado	Torpor Revisitado	0	2017	\N	\N	Mystery
tt1954512	movie	Hit a Lick	Hit a Lick	0	2017	\N	92	Crime,Drama,Music
tt1959563	movie	The Hitman's Bodyguard	The Hitman's Bodyguard	0	2017	\N	118	Action,Comedy,Thriller
tt1961175	movie	American Assassin	American Assassin	0	2017	\N	112	Action,Thriller
tt1966359	movie	Father Figures	Father Figures	0	2017	\N	113	Comedy
tt1972591	movie	King Arthur: Legend of the Sword	King Arthur: Legend of the Sword	0	2017	\N	126	Action,Adventure,Drama
tt1977984	movie	Untitled Sunny Garcia Documentary	Untitled Sunny Garcia Documentary	0	2017	\N	\N	Documentary
tt1981128	movie	Geostorm	Geostorm	0	2017	\N	109	Action,Sci-Fi,Thriller
tt1986949	movie	Smokestack Lightning: The Legendary Howlin' Wolf	Smokestack Lightning: The Legendary Howlin' Wolf	0	2017	\N	80	Biography,Documentary,History
tt1987680	movie	The Upside	The Upside	0	2017	\N	118	Comedy,Drama
tt1988633	movie	Gigante	Gigante	0	2017	\N	\N	Biography
tt1995458	movie	The Bang Bang Brokers	The Bang Bang Brokers	0	2017	\N	87	Action,Comedy,Crime
tt2018111	movie	And Then I Go	And Then I Go	0	2017	\N	99	Drama
tt2024521	movie	My Name Is Lenny	My Name Is Lenny	0	2017	\N	91	Biography,Drama,Sport
tt2039338	movie	Flatliners	Flatliners	0	2017	\N	109	Drama,Sci-Fi,Thriller
tt2039380	movie	Star Raiders: The Adventures of Saber Raine	Star Raiders: The Adventures of Saber Raine	0	2017	\N	83	Adventure,Sci-Fi
tt2039412	movie	Never Here	Never Here	0	2017	\N	110	Drama,Mystery,Thriller
tt2042692	movie	Scared Blind	The Unseen	0	2017	\N	108	Drama,Mystery,Thriller
tt2044734	movie	A Vida do Avesso	A Vida do Avesso	0	2017	\N	71	Drama
tt2062700	movie	Song to Song	Song to Song	0	2017	\N	129	Drama,Music,Romance
tt2069870	movie	Penny Land	Penny Land	0	2017	\N	90	Comedy,Drama
tt2070702	movie	Ingen så fin som du	Ingen så fin som du	0	2017	\N	72	Drama
tt2070800	movie	SPIT: The Story of a Caveman and a Chicken	SPIT: The Story of a Caveman and a Chicken	0	2017	\N	84	Adventure,Comedy,Family
tt2072233	movie	Sleepless	Sleepless	0	2017	\N	95	Action,Crime,Thriller
tt2080384	movie	The Art of Time	The Art of Time	0	2017	\N	96	Documentary,History,News
tt2081348	movie	Rearview	Rearview	0	2017	\N	\N	Thriller
tt2088950	movie	The Show	This Is Your Death	0	2017	\N	104	Drama
